keyids,motion path,annotations
0001,datasets/motions/flag_subset_guoh3dfeats/M001P001A001R001.npy,Svend Press
0002,datasets/motions/flag_subset_guoh3dfeats/M001P001A001R002.npy,Svend Press
0003,datasets/motions/flag_subset_guoh3dfeats/M001P001A001R003.npy,Svend Press
0004,datasets/motions/flag_subset_guoh3dfeats/M001P001A002R001.npy,Kneeling Push-ups
0005,datasets/motions/flag_subset_guoh3dfeats/M001P001A002R002.npy,Kneeling Push-ups
0006,datasets/motions/flag_subset_guoh3dfeats/M001P001A002R003.npy,Kneeling Push-ups
0007,datasets/motions/flag_subset_guoh3dfeats/M001P001A003R001.npy,Standing Straight-arm Chest Press With Resistance Band
0008,datasets/motions/flag_subset_guoh3dfeats/M001P001A003R002.npy,Standing Straight-arm Chest Press With Resistance Band
0009,datasets/motions/flag_subset_guoh3dfeats/M001P001A003R003.npy,Standing Straight-arm Chest Press With Resistance Band
0010,datasets/motions/flag_subset_guoh3dfeats/M001P001A004R001.npy,Small Dumbbell Floor Flies
0011,datasets/motions/flag_subset_guoh3dfeats/M001P001A004R002.npy,Small Dumbbell Floor Flies
0012,datasets/motions/flag_subset_guoh3dfeats/M001P001A004R003.npy,Small Dumbbell Floor Flies
0013,datasets/motions/flag_subset_guoh3dfeats/M001P001A005R001.npy,Chest Fly
0014,datasets/motions/flag_subset_guoh3dfeats/M001P001A005R002.npy,Chest Fly
0015,datasets/motions/flag_subset_guoh3dfeats/M001P001A005R003.npy,Chest Fly
0016,datasets/motions/flag_subset_guoh3dfeats/M001P001A006R001.npy,Push-ups
0017,datasets/motions/flag_subset_guoh3dfeats/M001P001A006R002.npy,Push-ups
0018,datasets/motions/flag_subset_guoh3dfeats/M001P001A006R003.npy,Push-ups
0019,datasets/motions/flag_subset_guoh3dfeats/M001P001A007R001.npy,Bent-over W-shape Stretch
0020,datasets/motions/flag_subset_guoh3dfeats/M001P001A007R002.npy,Bent-over W-shape Stretch
0021,datasets/motions/flag_subset_guoh3dfeats/M001P001A007R003.npy,Bent-over W-shape Stretch
0022,datasets/motions/flag_subset_guoh3dfeats/M001P001A008R001.npy,Bent-over Y-shape Stretch
0023,datasets/motions/flag_subset_guoh3dfeats/M001P001A008R002.npy,Bent-over Y-shape Stretch
0024,datasets/motions/flag_subset_guoh3dfeats/M001P001A008R003.npy,Bent-over Y-shape Stretch
0025,datasets/motions/flag_subset_guoh3dfeats/M001P001A009R001.npy,Bent-over A-shape Stretch
0026,datasets/motions/flag_subset_guoh3dfeats/M001P001A009R002.npy,Bent-over A-shape Stretch
0027,datasets/motions/flag_subset_guoh3dfeats/M001P001A009R003.npy,Bent-over A-shape Stretch
0028,datasets/motions/flag_subset_guoh3dfeats/M001P001A010R001.npy,Squat With Arm Lift
0029,datasets/motions/flag_subset_guoh3dfeats/M001P001A010R002.npy,Squat With Arm Lift
0030,datasets/motions/flag_subset_guoh3dfeats/M001P001A010R003.npy,Squat With Arm Lift
0031,datasets/motions/flag_subset_guoh3dfeats/M001P001A011R001.npy,Breaststroke Arm Pull
0032,datasets/motions/flag_subset_guoh3dfeats/M001P001A011R002.npy,Breaststroke Arm Pull
0033,datasets/motions/flag_subset_guoh3dfeats/M001P001A011R003.npy,Breaststroke Arm Pull
0034,datasets/motions/flag_subset_guoh3dfeats/M001P001A012R001.npy,Prone Y-shape Stretch
0035,datasets/motions/flag_subset_guoh3dfeats/M001P001A012R002.npy,Prone Y-shape Stretch
0036,datasets/motions/flag_subset_guoh3dfeats/M001P001A012R003.npy,Prone Y-shape Stretch
0037,datasets/motions/flag_subset_guoh3dfeats/M001P001A013R001.npy,Lateral Raise Forward Circles
0038,datasets/motions/flag_subset_guoh3dfeats/M001P001A013R002.npy,Lateral Raise Forward Circles
0039,datasets/motions/flag_subset_guoh3dfeats/M001P001A013R003.npy,Lateral Raise Forward Circles
0040,datasets/motions/flag_subset_guoh3dfeats/M001P001A014R001.npy,Lateral Raise Backward Circles
0041,datasets/motions/flag_subset_guoh3dfeats/M001P001A014R002.npy,Lateral Raise Backward Circles
0042,datasets/motions/flag_subset_guoh3dfeats/M001P001A014R003.npy,Lateral Raise Backward Circles
0043,datasets/motions/flag_subset_guoh3dfeats/M001P001A015R001.npy,Lying Shoulder Joint Upward Round
0044,datasets/motions/flag_subset_guoh3dfeats/M001P001A015R002.npy,Lying Shoulder Joint Upward Round
0045,datasets/motions/flag_subset_guoh3dfeats/M001P001A015R003.npy,Lying Shoulder Joint Upward Round
0046,datasets/motions/flag_subset_guoh3dfeats/M001P001A016R001.npy,Lying Shoulder Joint Downward Round
0047,datasets/motions/flag_subset_guoh3dfeats/M001P001A016R002.npy,Lying Shoulder Joint Downward Round
0048,datasets/motions/flag_subset_guoh3dfeats/M001P001A016R003.npy,Lying Shoulder Joint Downward Round
0049,datasets/motions/flag_subset_guoh3dfeats/M001P001A017R001.npy,Bare-handed Full Lateral Raise
