[27/05/24 10:29:37][__main__][INFO] - Training script
[27/05/24 10:29:37][__main__][INFO] - The config can be found here: 
outputs/tmr_humanml3d_guoh3dfeats/config.json
[27/05/24 10:29:43][lightning_fabric.utilities.seed][INFO] - [rank: 0] Seed set to 1234
[27/05/24 10:29:43][__main__][INFO] - Loading the dataloaders
[27/05/24 10:30:11][__main__][INFO] - Loading the model
[27/05/24 10:30:29][__main__][INFO] - Training
[27/05/24 10:30:30][pytorch_lightning.utilities.rank_zero][INFO] - GPU available: True (cuda), used: True
[27/05/24 10:30:30][pytorch_lightning.utilities.rank_zero][INFO] - TPU available: False, using: 0 TPU cores
[27/05/24 10:30:30][pytorch_lightning.utilities.rank_zero][INFO] - IPU available: False, using: 0 IPUs
[27/05/24 10:30:30][pytorch_lightning.utilities.rank_zero][INFO] - HPU available: False, using: 0 HPUs
[27/05/24 10:30:31][pytorch_lightning.accelerators.cuda][INFO] - LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
[27/05/24 10:30:31][pytorch_lightning.callbacks.model_summary][INFO] - 
  | Name                   | Type              | Params
-------------------------------------------------------------
0 | motion_encoder         | ACTORStyleEncoder | 4.8 M 
1 | text_encoder           | ACTORStyleEncoder | 4.9 M 
2 | motion_decoder         | ACTORStyleDecoder | 6.4 M 
3 | reconstruction_loss_fn | SmoothL1Loss      | 0     
4 | latent_loss_fn         | SmoothL1Loss      | 0     
-------------------------------------------------------------
16.1 M    Trainable params
0         Non-trainable params
16.1 M    Total params
64.523    Total estimated model params size (MB)
[27/05/24 10:30:31][src.callback.progress][INFO] - Training started
[27/05/24 10:34:09][src.callback.progress][INFO] - Epoch 0: v_recons 4.349e-01  recons 4.505e-01  v_loss 6.536e-01  loss 7.192e-01  v_latent 1.062e+00  latent 1.124e+00  v_kl 6.184e+00  kl 5.926e+00  v_contrastive 2.186e+00  contrastive 2.686e+00  v_t2m/len 1368  v_t2m/R01 2.41%  v_t2m/R02 4.17%  v_t2m/R03 5.4%  v_t2m/R05 8.69%  v_t2m/R10 14.84%  v_t2m/MedR 70.0%  v_m2t/len 1368  v_m2t/R01 1.89%  v_m2t/R02 3.73%  v_m2t/R03 4.9%  v_m2t/R05 8.55%  v_m2t/R10 14.1%  v_m2t/MedR 68.0%
[27/05/24 10:37:08][src.callback.progress][INFO] - Epoch 1: v_recons 4.181e-01  recons 4.183e-01  v_loss 6.075e-01  loss 6.239e-01  v_latent 9.868e-01  latent 1.039e+00  v_kl 2.865e+01  kl 1.819e+01  v_contrastive 1.891e+00  contrastive 2.053e+00  v_t2m/len 1368  v_t2m/R01 3.14%  v_t2m/R02 6.36%  v_t2m/R03 8.98%  v_t2m/R05 13.6%  v_t2m/R10 22.65%  v_t2m/MedR 38.0%  v_m2t/len 1368  v_m2t/R01 3.06%  v_m2t/R02 6.21%  v_m2t/R03 9.06%  v_m2t/R05 14.39%  v_m2t/R10 22.95%  v_m2t/MedR 42.0%
[27/05/24 10:40:20][__main__][INFO] - Training script
[27/05/24 10:40:20][__main__][INFO] - The config can be found here: 
outputs/tmr_humanml3d_guoh3dfeats/config.json
[27/05/24 10:40:25][lightning_fabric.utilities.seed][INFO] - [rank: 0] Seed set to 1234
[27/05/24 10:40:25][__main__][INFO] - Loading the dataloaders
[27/05/24 10:41:04][__main__][INFO] - Loading the model
[27/05/24 10:41:23][__main__][INFO] - Training
[27/05/24 10:41:24][pytorch_lightning.utilities.rank_zero][INFO] - GPU available: True (cuda), used: True
[27/05/24 10:41:24][pytorch_lightning.utilities.rank_zero][INFO] - TPU available: False, using: 0 TPU cores
[27/05/24 10:41:24][pytorch_lightning.utilities.rank_zero][INFO] - IPU available: False, using: 0 IPUs
[27/05/24 10:41:24][pytorch_lightning.utilities.rank_zero][INFO] - HPU available: False, using: 0 HPUs
[27/05/24 10:41:25][pytorch_lightning.accelerators.cuda][INFO] - LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
[27/05/24 10:41:25][pytorch_lightning.callbacks.model_summary][INFO] - 
  | Name                   | Type              | Params
-------------------------------------------------------------
0 | motion_encoder         | ACTORStyleEncoder | 4.8 M 
1 | text_encoder           | ACTORStyleEncoder | 4.9 M 
2 | motion_decoder         | ACTORStyleDecoder | 6.4 M 
3 | reconstruction_loss_fn | SmoothL1Loss      | 0     
4 | latent_loss_fn         | SmoothL1Loss      | 0     
-------------------------------------------------------------
16.1 M    Trainable params
0         Non-trainable params
16.1 M    Total params
64.523    Total estimated model params size (MB)
[27/05/24 10:41:25][src.callback.progress][INFO] - Training started
[27/05/24 10:45:41][src.callback.progress][INFO] - Epoch 0: v_recons 4.275e-01  recons 4.431e-01  v_loss 6.512e-01  loss 7.183e-01  v_latent 1.054e+00  latent 1.135e+00  v_kl 1.750e+01  kl 1.119e+01  v_dtw 7.402e-03  dtw 1.119e-02  v_contrastive 2.161e+00  contrastive 2.639e+00  v_t2m/len 1368  v_t2m/R01 2.33%  v_t2m/R02 4.3%  v_t2m/R03 6.13%  v_t2m/R05 9.57%  v_t2m/R10 16.14%  v_t2m/MedR 59.0%  v_m2t/len 1368  v_m2t/R01 3.14%  v_m2t/R02 4.9%  v_m2t/R03 6.8%  v_m2t/R05 10.22%  v_m2t/R10 16.95%  v_m2t/MedR 58.0%
[27/05/24 10:49:20][src.callback.progress][INFO] - Epoch 1: v_recons 4.135e-01  recons 4.123e-01  v_loss 6.124e-01  loss 6.230e-01  v_latent 9.917e-01  latent 1.029e+00  v_kl 3.789e+01  kl 4.040e+01  v_dtw 7.333e-03  dtw 7.663e-03  v_contrastive 1.911e+00  contrastive 2.026e+00  v_t2m/len 1368  v_t2m/R01 3.28%  v_t2m/R02 6.57%  v_t2m/R03 9.06%  v_t2m/R05 14.03%  v_t2m/R10 22.29%  v_t2m/MedR 40.0%  v_m2t/len 1368  v_m2t/R01 3.5%  v_m2t/R02 5.92%  v_m2t/R03 8.85%  v_m2t/R05 13.07%  v_m2t/R10 24.04%  v_m2t/MedR 40.0%
[27/05/24 10:52:59][src.callback.progress][INFO] - Epoch 2: v_recons 4.011e-01  recons 3.998e-01  v_loss 5.842e-01  loss 5.871e-01  v_latent 9.808e-01  latent 9.945e-01  v_kl 4.521e+01  kl 5.624e+01  v_dtw 6.465e-03  dtw 6.890e-03  v_contrastive 1.762e+00  contrastive 1.798e+00  v_t2m/len 1368  v_t2m/R01 5.63%  v_t2m/R02 10.22%  v_t2m/R03 13.01%  v_t2m/R05 17.84%  v_t2m/R10 27.19%  v_t2m/MedR 30.5%  v_m2t/len 1368  v_m2t/R01 4.23%  v_m2t/R02 7.96%  v_m2t/R03 10.96%  v_m2t/R05 17.76%  v_m2t/R10 30.62%  v_m2t/MedR 30.0%
[27/05/24 10:56:39][src.callback.progress][INFO] - Epoch 3: v_recons 3.929e-01  recons 3.896e-01  v_loss 5.609e-01  loss 5.617e-01  v_latent 9.750e-01  latent 9.832e-01  v_kl 4.875e+01  kl 5.884e+01  v_dtw 4.703e-03  dtw 6.418e-03  v_contrastive 1.628e+00  contrastive 1.651e+00  v_t2m/len 1368  v_t2m/R01 5.69%  v_t2m/R02 9.86%  v_t2m/R03 12.72%  v_t2m/R05 19.52%  v_t2m/R10 30.34%  v_t2m/MedR 26.0%  v_m2t/len 1368  v_m2t/R01 6.28%  v_m2t/R02 10.44%  v_m2t/R03 15.27%  v_m2t/R05 20.97%  v_m2t/R10 31.13%  v_m2t/MedR 25.0%
[27/05/24 11:00:16][src.callback.progress][INFO] - Epoch 4: v_recons 3.867e-01  recons 3.822e-01  v_loss 5.469e-01  loss 5.413e-01  v_latent 9.683e-01  latent 9.754e-01  v_kl 4.746e+01  kl 6.038e+01  v_dtw 5.831e-03  dtw 6.069e-03  v_contrastive 1.539e+00  contrastive 1.524e+00  v_t2m/len 1368  v_t2m/R01 7.01%  v_t2m/R02 11.84%  v_t2m/R03 16.22%  v_t2m/R05 21.93%  v_t2m/R10 33.04%  v_t2m/MedR 22.0%  v_m2t/len 1368  v_m2t/R01 8.18%  v_m2t/R02 14.18%  v_m2t/R03 18.27%  v_m2t/R05 24.55%  v_m2t/R10 35.31%  v_m2t/MedR 22.0%
[27/05/24 11:03:56][src.callback.progress][INFO] - Epoch 5: v_recons 3.797e-01  recons 3.766e-01  v_loss 5.292e-01  loss 5.251e-01  v_latent 9.559e-01  latent 9.688e-01  v_kl 4.026e+01  kl 5.533e+01  v_dtw 5.778e-03  dtw 5.885e-03  v_contrastive 1.433e+00  contrastive 1.420e+00  v_t2m/len 1368  v_t2m/R01 7.96%  v_t2m/R02 13.81%  v_t2m/R03 18.63%  v_t2m/R05 25.72%  v_t2m/R10 37.65%  v_t2m/MedR 20.0%  v_m2t/len 1368  v_m2t/R01 7.82%  v_m2t/R02 14.98%  v_m2t/R03 19.52%  v_m2t/R05 26.54%  v_m2t/R10 38.52%  v_m2t/MedR 19.0%
[27/05/24 11:07:33][src.callback.progress][INFO] - Epoch 6: v_recons 3.745e-01  recons 3.717e-01  v_loss 5.114e-01  loss 5.113e-01  v_latent 9.493e-01  latent 9.637e-01  v_kl 3.618e+01  kl 5.061e+01  v_dtw 4.881e-03  dtw 5.604e-03  v_contrastive 1.317e+00  contrastive 1.334e+00  v_t2m/len 1368  v_t2m/R01 9.93%  v_t2m/R02 15.19%  v_t2m/R03 20.97%  v_t2m/R05 29.17%  v_t2m/R10 41.36%  v_t2m/MedR 16.0%  v_m2t/len 1368  v_m2t/R01 9.21%  v_m2t/R02 16.52%  v_m2t/R03 22.14%  v_m2t/R05 29.23%  v_m2t/R10 42.11%  v_m2t/MedR 16.0%
[27/05/24 11:11:11][src.callback.progress][INFO] - Epoch 7: v_recons 3.706e-01  recons 3.672e-01  v_loss 5.047e-01  loss 4.987e-01  v_latent 9.496e-01  latent 9.574e-01  v_kl 3.219e+01  kl 4.573e+01  v_dtw 5.807e-03  dtw 5.443e-03  v_contrastive 1.280e+00  contrastive 1.256e+00  v_t2m/len 1368  v_t2m/R01 8.92%  v_t2m/R02 14.39%  v_t2m/R03 20.61%  v_t2m/R05 28.57%  v_t2m/R10 41.81%  v_t2m/MedR 15.0%  v_m2t/len 1368  v_m2t/R01 10.22%  v_m2t/R02 16.95%  v_m2t/R03 22.21%  v_m2t/R05 31.2%  v_m2t/R10 42.4%  v_m2t/MedR 16.0%
[27/05/24 11:14:48][src.callback.progress][INFO] - Epoch 8: v_recons 3.668e-01  recons 3.623e-01  v_loss 4.929e-01  loss 4.866e-01  v_latent 9.395e-01  latent 9.499e-01  v_kl 2.994e+01  kl 4.112e+01  v_dtw 5.408e-03  dtw 5.223e-03  v_contrastive 1.204e+00  contrastive 1.187e+00  v_t2m/len 1368  v_t2m/R01 10.31%  v_t2m/R02 16.01%  v_t2m/R03 20.97%  v_t2m/R05 29.3%  v_t2m/R10 43.63%  v_t2m/MedR 14.0%  v_m2t/len 1368  v_m2t/R01 11.55%  v_m2t/R02 19.52%  v_m2t/R03 25.65%  v_m2t/R05 33.77%  v_m2t/R10 46.27%  v_m2t/MedR 13.0%
[27/05/24 11:18:26][src.callback.progress][INFO] - Epoch 9: v_recons 3.606e-01  recons 3.590e-01  v_loss 4.815e-01  loss 4.760e-01  v_latent 9.337e-01  latent 9.418e-01  v_kl 2.737e+01  kl 3.484e+01  v_dtw 4.861e-03  dtw 4.704e-03  v_contrastive 1.158e+00  contrastive 1.119e+00  v_t2m/len 1368  v_t2m/R01 10.75%  v_t2m/R02 16.37%  v_t2m/R03 21.48%  v_t2m/R05 30.04%  v_t2m/R10 45.25%  v_t2m/MedR 13.0%  v_m2t/len 1368  v_m2t/R01 12.13%  v_m2t/R02 19.07%  v_m2t/R03 24.2%  v_m2t/R05 32.24%  v_m2t/R10 44.95%  v_m2t/MedR 13.0%
[27/05/24 11:22:43][src.callback.progress][INFO] - Epoch 10: v_recons 3.584e-01  recons 3.563e-01  v_loss 4.750e-01  loss 4.679e-01  v_latent 9.352e-01  latent 9.364e-01  v_kl 2.537e+01  kl 3.147e+01  v_dtw 4.030e-03  dtw 4.869e-03  v_contrastive 1.123e+00  contrastive 1.064e+00  v_t2m/len 1368  v_t2m/R01 10.67%  v_t2m/R02 17.84%  v_t2m/R03 23.31%  v_t2m/R05 31.72%  v_t2m/R10 46.04%  v_t2m/MedR 12.0%  v_m2t/len 1368  v_m2t/R01 12.43%  v_m2t/R02 19.59%  v_m2t/R03 26.38%  v_m2t/R05 33.84%  v_m2t/R10 47.0%  v_m2t/MedR 13.0%
